職務名稱,公司名稱,區域,薪資,工作內容
資料分析師 Data Analyst,睿點行動股份有限公司,台北市松山區,"年薪700,000~1,000,000元","睿點行動致力於 FinTech 產品開發，並提供數據分析服務，我們的兩個產品：
1. 『發票存摺 (Invos)』：國內發票應用 APP 第一名，超過 500 萬下載，百萬 MAU，擁有超過十億筆消費數據，提供客戶大數據分析服務，和智能化推薦服務。
2. 『麻布記帳 (MoneyBook)』：全台唯一提供「全資產自動整合服務」的產品，參與開放銀行 Open API 政策第一、二階段，目前已串接 32 家銀行、17 家信用卡、18 家證券，合作銀行家數為國內TSP（第三方服務業者）之最。

我們很重視使用者聲音，善用數據進行產品功能開發，內部採 Scrum 模式運作，小步快跑快速迭代產品。

此外，我們也重視使用者隱私與資訊安全管理，引進國際資安標準 ISO/IEC 27001，並通過加拿大第三方驗證公司之資安驗證。

【職務內容】
您將負責「發票存摺」和「麻布記帳」的數據分析，將接觸到用戶的日常交易、消費、金融、和使用行為等多樣且大量的數據資料。

工作內容主要為商業數據調研，並將調研作業標準化，包含：調研問卷設計、產品數據分析、調研洞察報告產出，提出商業 insight，供客戶進行商業決策。

此外，您也將負責部分數據處理和模型作業，內容涉及數據清洗、特徵工程、統計取樣、和數據模型建置等作業，將數據轉化為商業洞察，挖掘市場消費趨勢和勾勒使用者樣貌。

這個職務中：
1. 技術佔比 40%，商業思維佔比 60%，若您是純工程師，或者不懂技術的市場分析人員，這個職務可能不太適合您。
2. 您將與營運、業務和數據團隊密切合作，協作構建問題，分析商業所需的數據需求，共同合作開發產品應用，或發表分析報告。
3. 希望您是個熱衷於產品開發，願意不斷學習新技術，並樂於分享討論的夥伴，您可以盡情展現你的專業技能，提供決策建議，協助團隊解決各種挑戰性的問題。
4. 我們的內部環境自由，可自由參與其他產品開發等專案，不斷增加能力，你將會接觸到系統和技術：
- Data Studio / Metabase
- Google Cloud Platform
- Containers & Serverless (Kubernetes, GAE ...)
- BigQuery / ClickHouse
- Pub/Sub

【必要條件】
這個職務，我們希望您具備以下能力：
Hard Skills:
1. 對商業分析有深刻理解，能夠從數據中找出商業 insight。
2. 至少 2 年 資料分析實務經驗，熟悉 Python Pandas、NumPy，熟悉 SQL 語法，有 RMDBS 和 NoSQL 經驗。
3. 具備資料視覺化能力，熟悉一種以上視覺化工具，如：Data Studio。
4. 熟悉統計和機率。

Soft Skills:
1. 具有良好的溝通和表達能力，能有邏輯的將您的意見、需求和見解表達出來。
2. 樂於提出自己的觀點和見解，但能同時接納其他不同的意見。
3. 善用證據和合理的邏輯驗證自己的假設和觀點。
4. 不畏懼挑戰，樂於解決陌生問題。

【加分項目】
1. 有市場調研或產業分析經驗者佳。
2. 金融領域背景，具有金融模型相關經驗者。
3. 有 GCP、機器學習、深度學習實務經驗，實際應用於商業上。

 
"
資料分析師,寶勝國際(控股)_寶原興業股份有限公司,台北市松山區,待遇面議,"大中華區有近萬間店鋪的寶勝集團
正在全力發展新零售
團隊的目標在開創新時代的運動零售體驗

你將負責分析BI與會員資料庫數據
主動從數據中挖掘消費者洞察，以客觀事實輔佐各部門決策及行動
使團隊能在不確定性中找到方向，進而優化營運、達到行銷目標

集團有充足的資源讓你一展長才、改變會員的生活
如果你也熱愛運動、充滿活力、具有開創性的思維與務實的執行能力
歡迎加入我們！一起成為改變產業的先行者

1. 會員資料分析，運用演算法建立模型及優化，固定產出視覺化報表。
2. 會員輪廓分析、行銷檔期名單產出，並提出CRM經營建議。
3. 行銷資源、零售通路貢獻度等效益分析，以數據驅動行銷及零售運營團隊。
4. 一同制定會員分群經營策略、方案執行與成果分析。
5. 其它主管交辦事項。"
商業資料分析師/數據分析師/資料科學家 (台北),復煜生物科技有限公司,台北市松山區,待遇面議,"運用資料科學專業，協助公司掌握有價值的資料並獲得洞見，本職務將專注於協助電商的銷量與銷售策略、行銷與研發部，對應的產業是生物科技公司所研發的營養品牌。

【職務條件】 
 1. 與行銷/研發部溝通了解需求目的、想解決的問題與希望獲得的商業價值。
2. 定義數據收集與後續分析需求，建構所需要的資料處理流程並協助公司進行數據處理(清洗、ETL、標籤、特徵提取等)。
3. 依據數據處理與分析需求，建構數據模型，視實際情況調整並優化模型與流程。
4. 進行各種數據追蹤和分析，針對商業問題提供有用數據、評估與應用在品牌環境中，並持續優化與修正。
5. 將數據結果給予最佳的視覺化建議與呈現。
6.將以上所提到的內容，運用在「品牌行銷」及優化銷售策略（PS：可提供資料科學角度的銷售策略）。 
7. 比如 a.精準廣告投放  b.精準定價  c.利潤/數量最佳化  d.口碑熱度文字雲  e.產業消費者議題爬蟲  f.競品分析，並建立相關儀表板。

【職務技能】 
 1. 分類分群、推薦、迴歸預測等機器學習相關實作經驗。
 2. 熟悉程式與分析應用，如 Python, R, SPSS, MATLAB, SAS 至少會上述一種應用。
 
【加分條件】 
1. 大數據生態系(Big Data Ecosystem)，如 Hadoop, Spark, MapReduce, Hive 等。
2. 熟悉商業智慧(BI)工具，如 Tableau, QuickView, Qlik, PowerBI, Quicksight 等。
3. 具有行銷代理商、品牌端、品牌行銷、電商的經驗。
4. 主動積極、做事細心、責任心強、溝通能力佳、注重團隊合作精神。 
5. 對數字具有敏感度與興趣，正向思考、自律性及配合度高能夠獨立思考，主動發現問題。

【上班時間】 
上班時間面談
"
資料分析師/資料科學家,和泰聯網股份有限公司,台北市中山區,待遇面議,"工作內容：
1.	彙整集團內可運用的數據，參與數據應用、顧客分析、顧客貼標等實際專案執行。
2.	可自行依據產品特性規劃數據收集策略，運用分析工具進行數據挖掘，協助開發/維運BI Dashboard。
3.	解讀數據後，將分析結果製成簡報，與客戶討論。
 
本職務需具備以下技能：
1.	熟悉線上數據收集工具(包含Google Tag Manager, Google Analytics, Firebase, Big Query)，具2-3年實作經驗。
2.	具數據分析實務經驗者(資料撈取／清整／分析至建立洞察模型) 
3.	熟悉數據程式語言 (如R、Python)
4.	需具備Data Visualization（如：Data Studio, Power BI…等）
5.	進階統計模型(Regression, Clustering, Segmentation...) 的應用經驗 
6.	溝通能力佳
7.	能快速學習與適應新技術，樂於接受改變與挑戰 
 

 
"
約聘資料分析師(T67駐點食藥署),關貿網路股份有限公司,台北市南港區,"月薪38,000~40,000元","1.負責資料標準化、探勘及分析工作
2.依客戶需求產出資料分析報告
3.其他交辦工作"
035GKC_資料分析師/演算法工程師,神通資訊科技股份有限公司,台北市內湖區,待遇面議,"1.資料分析、模型建立、運用分析工具提供商業智慧；
2.用戶溝通討論，協助用戶釐清需求，提出資料運用模型；
3.透過統計，演算模型，機器學習手法分析資料，提出解決問題的方案；
4.設計資料分析的方法，規劃資料分析服務的內容；
5.能夠團隊合作，與不同領域的人員協同運作，進行資料分析工作。
※工作待遇：將依學經歷進行敘薪。"
資料分析師(T53),關貿網路股份有限公司,台北市南港區,待遇面議,"建立分析統計預測模型及演算法
視覺化報表設計"
Python 資料分析師,干城數碼有限公司,台北市中山區,待遇面議,"1.使用統計、機器學習、深度學習等演算法進行建模
2.協助定義商業問題以及方法論，定義假說以及指標，調整設計數據模型 
3.資料分析專案管理 
4.負責專案之提案/執行
5.銷量預測、零件用量預測、「線性規劃方法」作優化產品生產計畫"
Energy Data Analyst 能源資料分析師,Gogoro Taiwan Limited_睿能創意股份有限公司,台北市松山區,待遇面議,"Who We Are
We started with an idea. An idea to revolutionize the way we consume energy and transform the urban cityscape. To make that an idea a reality, we leveraged cutting edge technology and top talents in the market. Now in 2020, we are growing faster than ever, bringing onboard new ideas, new faces and new dreams. We are more than just a smart scooter company, more than just an energy network company. We are a game changer for vehicle design. We are a trendsetter for software advancements. We are an industry leader for modern transport solutions. We are Gogoro.

Meet the Team
Data is the core of Gogoro Network. This is the only network with thousands of battery swap stations and hundreds of thousands of electric vehicles, all powered by smart batteries that generate vast amounts of data. 
We are the Energy Data Team, we build the future we desire. One brick at a time. Energy Data Team is a novel team that leverages the data we collect. The team works closely within a cross-disciplinary R&D engineering team including hardware, software, firmware, electrical, chemistry, and thermal engineers. By using data, the team solves problems, discovers trends, identifies opportunities, and produces actionable insights into our product design and network operations. 
At the Energy Data team, we work with equality, transparency, and efficiency. We are looking for talents to join us to build the future.

Position Impact
This role will bridge the last mile from data to impact. Data does not speak for itself. As a Data Analyst, you are the interpreter who translates data from numbers to trends, patterns, or even stories, in a way that non-technical people could easily understand. You are the one who provides data meanings and values by using it to answer complex questions and point out the right direction for the organization. You will deliver high-quality, low-latency analytics in a fast-paced data-driven department. Working in a constantly changing data industry, you embrace uncertainty and take it as an opportunity to grow.

Responsibility and Expectation
You will analyze factors that move key performance metrics such as battery lifespan, product sustainability, and user experience. The working responsibilities may include:
- Supply high-quality data analysis that motivates critical engineering design decisions. 
- Devise scientific methods to identify and monitor key performance metrics.
- Analyze historical data from failed devices to identify or predict the failure mode and root cause. 
- Design algorithms to optimize battery charging and distribution strategies. 
- Design experiments to evaluate the effectiveness of battery management algorithms."
行銷分析人員（資料分析師 Data Analyst）,摩爾空間有限公司,台北市大同區,"月薪36,000元以上","針對 [行銷策略] [廣告數據] [經營管理] 之資料處理及數據分析，根據不同議題、資料來源，設計資料模型，並以視覺化報表的形式呈現分析結果。

此工作需與執行長、副總等高階管理人員，及行銷人員、系統工程師、網頁工程師密切討論合作，需具備跨領域知識及跨部門溝通能力。

歡迎熱愛資料分析，喜歡討論經營策略，自我學習能力強，可獨立作業者來挑戰！

工作內容：
1. 分析用戶數據，觀察消費者行為及需求，並提出優化方向與解決方案
（包含租戶資料分析、消費者行為研究、市場調查、滿意度調查...等）
2. 業績分析並擬定改善策略
3. 產品定價及調價
4. 制定銷售工具、優化顧客使用體驗
5. 廣告成本最佳化
（提案 A/B Testing，持續優化廣告成效，提升轉換率）
6. 專案管理

具備條件：
有程式撰寫能力(Python尤佳)，能自行進行資料蒐集整理、分析流程
具統計、資料科學能力，同時具備心理學背景者加分
邏輯能力佳、擅溝通、有彈性應變的能力
2年以上數據分析相關工作經驗

公司介紹：
摩爾空間(Morespace) - 個人倉庫領導品牌，全台超過40間直營分店，致力成為民眾美好生活的好夥伴，秉持「More Space,More Life」的使命，希望在房價高漲的年代，讓台灣人能輕鬆擁有美好的居家生活，讓家像樣品屋般的整潔漂亮！讓空間不再成為最沉重的負擔！

摩爾空間成立於2008年，我們創造了超過三萬名顧客，個人倉庫是新的商業模式，更是未來會持續成長的產業，因此我們需要有創意、有工作熱情、有執行力的你！若你喜歡有效率的工作方式、開放性的溝通、充分授權的管理方式，歡迎你來聊聊！

"
Data Analyst / 資料分析師,瑞嘉軟體科技股份有限公司,台北市內湖區,"月薪55,000~142,000元","•  Discover insights from a wide variety of data sources for potential business decisions.
•  Collaborate across marketing, business operations, and business leaders to understand business questions.
•  Create detailed report based on data mining and data visualization for business requirement.
•  Perform other duties as necessary."
[Adtech] 商業資料分析師 (Business Data Analyst),酷遊天股份有限公司,台北市內湖區,待遇面議,"KKday 的願景是讓每個人能夠隨心所欲地踏上旅程，足跡踏遍全世界。即使疫情使跨國旅遊變得不可能，KKday 仍透過深化國內旅遊突破營收的上限，也成功獲得投資人的認可，於疫情最嚴重時募得 C 輪 7500 萬美金。

【職務說明】
- 透過商業視角與數據驅動思維，結合基礎統計分析，創造商業價值輔以廣告行銷決策。
- 會與資料科學家密切合作，能夠轉化業務與行銷需求成技術邏輯，並也需要將資料科學家完成之模型，應用於設計視覺化報表。
- BI 商業智慧報表工具會是日常最主要使用的分析工具。
- 需協助定義業務問題、需求訪談。我們所面臨的商業目標會涵蓋各大市場面向，非常有趣且有挑戰性。
- 使用基礎的 SQL 語法，彙整資料庫的數據，以供數據分析使用。
- 需要與行銷和業務端合作執行各種實驗，確保我們做出來的數據產品產出能符合行銷與業務效益。

【必要條件】
- 良好的溝通與表達能力，能夠善用各種資料視覺化方法。
- 熟悉基礎的 SQL 語法，有從關聯式資料庫查詢資料的經驗。
- 熟悉任一 BI 報表工具 (Tableau/Data Studio/PowerBI/…...)。
- 熟悉廣告行銷應用場景以及有使用任一數位行銷工具 Google Analytics/Google Ads/FB Ads 的經驗。
- 需曾經在電商 (E-Commerse) /零售 (Retail) /內容發佈商 (Content Provider) 工作過、或是有服務過這些產業客戶的經驗。

"
客群資料分析師(凱基證券),中華開發金融控股股份有限公司(凱基證券)(凱基銀行),台北市中正區,待遇面議,"1.     針對客戶行為及交易數據進行量化分析，擬定商業策略
2.     建置預測及分群模型，挖掘潛在客群
4.     數據相關專案規畫及執行
5.     具2年以上數據分析相關經驗，有金融業或數位經營經驗者佳
6.     熟悉資料庫及SQL/R/Python等程式語言"
資料分析師【商周集團-數據商業中心】,商周集團_商周編輯顧問股份有限公司,台北市中山區,待遇面議,"商業周刊集團，透過線上線下的活動，聚集了台灣最有影響力的產業領袖，從活動參與，文章的閱讀，影音直播的互動，延伸課程的購買，MGM的社群分享，凝聚成推動台灣產業的知識共學生態圈。

我們邀請有興趣有天份的數據從業人員，不論是銜接各種接觸點的架構資料工程師，或是對於數據立體維度呈現的視覺化分析表現的探勘家，加入這個獨特的世界，讓我們把對用戶的體驗洞察做到更極致，協助帶動產業經濟進步的CEO，領導者，專業從業人員，透過彼此的學習分享，推薦，透過由數據賦能的平台，找到一起進步的動能。

數據協助我們更能理解客戶反饋，活動企劃的執行效益，以及產品設計場景的驗證，使我們成為生態圈裡更不可或缺的知識平台，協助客戶與商周創造營業的成功，給社會與從業者更好的價值。隨著線上線下活動的複雜度與多元維度的擴增，我們積極尋找熱衷於透過數據輔佐以解讀世界的實作者，以分群、推薦、建模等工具，扮演商周轉型不可或缺的引擎。 您可以透過這個職務，展開以下作業，發揮你的專長:

●職務內容建議
1. 協助營運單位分析數據、建立分析邏輯、商業化解讀分析結果，協同轉化成可執行方案，並追蹤方案成效。
2. 資料庫資料整理及利用資料處理工具製作與整理報表。 
3. 善EC、網站及APP類的數據分析工作。
4. 有建模應用實務經驗。"
[急徵] Data Mining Analyst/資料分析師,台灣新蛋股份有限公司,台北市內湖區,待遇面議,"職務內容：
1. 參與大型數據庫的數據分析與電子商務客戶行為研究。
2. 能夠在大型數據庫環境下編寫較為複雜的SQL語句。
3. 有能力處理大量及複雜的準備數據、包含數據收集，數據清理，探索性數據分析。
4. 使用 Python 分析數據。
5. 最好能夠將業務需求映射到公司所需要之 ML/AI 解決方案。
6. 熟悉操控並設計及訓練電子商務問題的模型，例如：搜索引擎語意檢索以及商品排序優化、深度推薦系統、自然語言文法分析、產品圖片識別。
7. 有能力建模後解釋及說明結果、並佈署模型。
8. 學習最先進的技術並學習頂級論文。

資格條件：
1. 對電子商務有熱誠，喜歡思考並對客戶行為分析及結果抱持開放態度。
2. 享受在大量數據庫進行資料分析者。
3. 擁有團隊合作的能力及創造性思維。
4. 最好有 2 年以上 T-SQL 和 Python 編程經驗。
5. 最好有 1 年以上營銷或Market Research實務者。
6. 優秀的2021屆畢業生亦可接受。
7. 熟悉 SQL, Python, Tensorflow: 會 Hive、Hbase 或 Spark者尤佳。

"
資料數據分析師 Data analyst,新加坡商晚安有限公司台灣分公司,台北市中山區,"月薪40,000元以上","Goodnight 2015 年底正式上線，Goodnight 致力於創造一個富有驚喜的交友體驗，希望專注在「聲音」而不是「照片」來認識新朋友。使用者能根據自己的喜好來配對，並和配對者進行語音聊天，一次7分鐘。

在短短四年內，Goodnight 已成功打入五個市場，曾在許多國家榮登 Google Play 交友榜首，至今已有註冊用戶800萬人。以規模而言，目前已經是亞洲最大的聲音交友軟體。

Goodnight 深受年輕用戶的青睞。Goodnight 每天能產生40萬通配對電話，最高在線人數也曾超過1萬人，每三分鐘就能找到一個真人一對一電話聊天。

團隊成員就像好朋友一樣，聰明工作、玩到壞掉，是我們的宗旨，來 Goodnight，你可以有機會執行所有你想嘗試的Idea，無論是產品端、行銷端，甚至還可以跨領域學習、跨國家操作，跟著大家一起指數成長，絕對讓你感受到幸福又充滿挑戰的工作環境。

【職位需求】
• 兩年以上資料分析經驗
• 熟悉下列任一種分析語言 R/Python/SAS
• 熟悉SQL 語言
• 熟悉資料分析/建模流程

【工作描述】
• 與產品、設計團隊合作，分析產品功能有效性。
• 與主管報告產品關鍵指標。
• Data Team ETL 維運。
•Data Team Server監控。

【加分項目】
• 有實際使用過AWS EC2/Google BigQuery。
• 統計、機器學習、深度學習理論與應用結合。"
(資深)資料分析師,博弘雲端科技股份有限公司,台北市中山區,待遇面議,"1. 使用者需求訪談、分析與規劃
2. 大數據專案的規劃與執行，數據接入、清洗、建模與可視化的設計。
3. 雲端資料處理架構規劃及地端數據遷移
4. 協助客戶數據資料分析及應用

"
資料庫與數據分析師 Data and Analytics Engineer(建築與人居環境部-台北),艾奕康工程顧問股份有限公司,台北市信義區,待遇面議,"AECOM數位解決方案團隊正在尋找資料庫與分析工程師，應徵者將與AECOM亞太區各地的專案和市場行銷團隊合作，協助團隊研究並建構資料庫結構與數據分析機制，研發支援雲端協作的設計輔助工具和操作平台，並協助資訊的擷取、分類與分析，一同為AEC產業帶來革新的工作流程與成果。 
應徵者需具備相關實務經驗，並且可獨立完成資料庫建構、資料擷取、導入、分析解讀和應用等工作，實務上需熟悉資料結構、分析指標、資料庫語言SQL和雲端儲存(Azure, AWS)等技術。若同時具備地理資訊系統（GIS）或IoT／Digital Twin等技術概念者尤佳。 
AECOM為構築更美好的世界而生，我們為全球150多個國家的政府機構與企業組織提供規劃設計、財務策劃與基礎設施營運的全方位服務。身為一個高度專業整合的企業，AECOM具備完整的全球專業知識網路與國際經驗，可以協助客戶解決高度複雜的業務挑戰。從地標建築與基礎設施、永續發展與環境規劃以至於國防建設與國家發展，AECOM提供多樣化的服務，身為美國Fortune 500大企業與Engineering News-Record排名全球第一的設計顧問公司。

"
資料科學分析師(總公司),新安東京海上產物保險股份有限公司,台北市中山區,待遇面議,"●資料科學與人工智慧相關新技術研究開發及概念性驗證
●應用創意 + 機器/深度學習模型，跨部門合作，提供商務應用與解決既有痛點
●與資料工程師合作，進行機器學習、深度學習的架構設計與開發"
新光人壽-資料科學分析師 (數位),新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),台北市松山區,"月薪36,000~50,000元","新光人壽相信資訊科技是企業競爭力的重要基石，在資訊科技的投資上不遺於力，因此E化在業界長久以來都屬於領先的一群，面對數位金融3.0數位創新的時代，新光人壽更擬定短中長期計畫積極建構全方位的數位金融平台，打造創新的數位保險服務，相關計畫包含：
  -電子商務平台
  -數位智能客服中心
  -IoT及FinTech於保險領域的應用
  -全方位銷售及客戶服務的行動應用開發
  -運用Big Data數據分析與資料模型，以發掘更多客戶需求與服務創新方式
  -打造以使用者體驗(UX)為中心的全新數位通路

誠摯邀請對資訊科技有熱情的您一起加入我們共同學習與成長

1.從事機器學習、深度學習模型開發與優化任務
2.依公司年度策略規劃發展目標，研究實作或導入所需相關技術，以加快場景落地應用。"
"【數據】資料科學分析師-數據分析 (數數發中心,DDT)",國泰世華商業銀行股份有限公司_人力資源部,台北市信義區,待遇面議,"【職務說明 What will you do】
1.  機器學習、深度學習或統計分析模型專案開發
2.  配合數據技術發展目標，研究與實作可落地應用之新興數據模型技術
3.  協助數據轉型，規劃end-to-end的數據應用解決方案"
A4-數據分析師 (社群資料研究、人群資料研究),意藍資訊股份有限公司,台北市大安區,"月薪32,000~40,000元","本公司運用語意分析與雲端技術專長，推出全國規模最大的網路社群監測與分析平台《OpView社群口碑資料庫》及《PeopleView人群資料庫》，廣泛地應用在行銷廣告、公關客服、品牌及市場研究上，能夠在數億筆的雲端資料庫內，精確地分析網路上的口碑聲量，以及消費者和市場的樣貌，是數位行銷時代重要的工具，因此本公司招募想積極投身這波浪潮的人才一同加入。

工作內容：
70% 執行客戶的分析報告或提案，分析問題，進而提出策略方向
20% 經營客戶關係，協助解決問題
10% 分析客戶需求，歸納並參與規劃產品，提升服務

本工作無特定學經歷要求，歡迎對下列有經驗或有興趣的同仁加入
1.統計及研究方法論
2.各式分析工具或技術 (例如R, Python, Excel, SQL任一)
3.在企業及商業上的洞見詮釋"
資料科學工程師/軟體開發工程師/醫學統計分析師,寰澔生物科技有限公司,台北市大同區,"月薪40,000元以上","1. 進行有關臨床研究、生物醫學之統計分析。
2. 製作統計圖表及撰寫統計報告。
3. 具備公共衛生、流行病學、生物統計等相關領域之專長經驗，碩士學歷以上(具生物統計諮詢服務經驗佳)。
4. 有大型資料庫管理及統計分析經驗者(如健保數據庫、Hcup、Seer等)，或是對於大數據分析有興趣者佳。
5. 需熟悉統計相關套裝軟體（如SPSS、STATA、SAS、R等）。 "
